pid,being_followed,content,reply
5984538,18,"怎么找到一个 喜欢 且相处舒服的女朋友 ？脱单 谈稳定的恋爱
这个题好难呀 我真的是快被自己蠢哭了 
ps dz博士理工课 圈子窄 没啥拓展圈子的方法
且平时科研日常忙碌 （再忙也得兼顾人生大事",61
5984901,14,用什么overleaf呀，难用的一批，强推国内的一个在线latex平台：https://www.texpage.com/，用过的都说好（斜眼笑,2
5984401,13,"出qj经济学原理课程资料，笔记、错题、自己整理的所有练习题、平时作业、名词解释15r打包出（总评100
#qj #经原 #选课 #元宵",2
5984600,12,在看了某些日本的影片之后，我开始好奇，是不是大多数男性对于性爱和性快感的理解，就是生理上征服和占有女性的过程？这些影片里，不少在情节设置上就把女性放在很被动的地位，性爱过程中更是全程放大女性的弱小和无助（比如夸张的叫声和表情，中途柔弱地要求男方停止，但这样的举动似乎只会进一步激发对方的兽欲）。日本的这些影片在国内这么受欢迎，是不是说明这里面体现了多数男性对于性爱的理解呢？,17
5984511,12,"最近学校健身房人满为患,开心的同时也发现了很多同学想健身又面临着:跟私教太贵,自己练又怕受伤等一系列问题.
dz对健身比较感兴趣,上学期一学期减重10kg的同时保持了肌肉量, 三大项300(自重70,是的我很菜,大佬勿喷),最近在备考ACSM.因此如果洞友们不嫌弃的话,打算在qdb健身房和洞友们随机组健身搭子, 一方面检验自己的学习成果,另一方面也是攒人品了(求转运).
p.s. 无偿
p.p.s 男女不限, 经验不限(求大佬带我),很欢迎小白
p.p.s 不加联系方式,我去的时候会在洞里说",8
5984934,11,"发现自己还是很想谈恋爱…
男infp真的太难喽，明明朋友都夸自己性格好温柔，但是自己太社恐了实在是，又很颜控，能不能来个女孩子和我谈纯爱😭",23
5984848,11,fwb恋爱了，最后决定删除好友不影响他的生活。但的确有点可惜,7
5984788,11,想带npy来贵校逛逛，顺便听听课，大家有什么好的旁听推荐嘛，周二周五的，我俩都是理科生，不过如果是没什么先修要求的有意思的文科课也不错呀~谢谢啦~,25
5984772,10,真的太太太赞同了,9
5984729,10,有想唱k的吗，好久没唱音道痒了,10
5984608,10,有不看片、就干撸的兄弟吗？,14
5984535,10,sms 求问统计系直博比较看重笔试绩点吗？笔试主要是考什么呢,2
5984300,10,"5984149
能通过竞赛进入贵校的，大部分都开始的比较早，那就更容易通过“我该科(竞赛)成绩/学的好”获得成就感，而不是真正打心底里面认识到自己的学科多么好而爱上它
贵校疯人院有理想主义的有几个？",40
5984821,9,soul上遇到清华附小的学生约我出去玩会有风险吗？,8
5984759,9,正在蹲坑，隔壁坑一直大叫，忽而打自己的屁股，然后仿佛在哭泣，我好害怕,4
5984412,9,C君决定今晚🦌不🦌,19
5984935,8,崩溃 好后悔没去上交而是来了医学部,16
5984768,8,"#5984363
低年级不懂就问，原来现在就业行情已经这么差了吗（没有说总行不好的意思，只是之前可能觉得gsm去银总肯定没什么问题）。那gsm今年去头部券商的多吗？外资呢？中午吃饭听fy同学说有法硕学长去了头部券商前台岗的
投行 中金 华泰 中信 金融硕",9
5984425,8,"求助
本人理科生，希望在学习之余看一些文学性或历史性的书(不是专业的是业余的)，有什么可以推荐的吗
祝愿认真回答的uu们运气爆棚",10
5984948,7,我真服了，活该自己没对象，死要面子，每次看到心动异性都不敢直视，死装高冷，更别说要微信了、、、金牛座真的谈得了恋爱吗….,10
5984845,7,carol决定我几点睡！,9
5984832,7,过节 npy出去玩，没带我,7
5984681,7,有无给给/女生/直男今晚元宵夜大闹des的？,14
5984624,7,"#ktv
中关村酷秀房间111中包3h，now，极限摇人，可以直接来！！",5
5984582,7,和女朋友异地一年，天天跟男的一起玩，感觉要变成gay了,5
5984563,7,死了字了死了死了死了情商地板,9
5984541,7,想给妈妈买部千元手机   选华为畅享系列还是红米系列呢,11
5984512,7,求问普物的自学教程，已经不指望院系的普物课了,2
5984355,7,求助洞友，第五题后面那个问题,12
5984337,7,"5983806
好像这个车已经满了诶，还有没有像dz一样临时起意想出去玩的友友呢？去看灯会吃吃喝喝逛逛啥的，在线蹲",20
5984940,6,25岁还能谈恋爱吗，唉，真的难受,6
5984882,6,xk是最成功、最贴合时代发展的学院，其他的都在拖后腿,13
5984857,6,"感觉大家都出去玩了，只有我还在学校
约crush约不出来，估计他也在和别人玩

🤡女",9
5984855,6,为什么即使放开之后入境游客数量还是锐减啊？感觉现在不管是移动支付、打车、点餐、叫外卖，大多都需要绑定微信、支付宝或者境内手机号是一部分原因。,14
5984846,6,只有真男人才可以雌堕，雌堕是男子汉属性拉满的行为,2
5984841,6,没关系的吧，元宵也不是什么很重要的节日，自己一个人过也没什么大不了的吧，室友都不在，想必他们一定是去自习了吧，也没有什么人去过这个节的嘛，外面热闹地方人那么多那么挤，没什么好看的，不去也没什么大不了的吧，不就是元宵节嘛，就这样随便过过也没什么大不了的吧😭,9
5984795,6,有组局ktv的吗，想唱歌了，但是就一个人………,4
5984790,6,求问一下 现在测出新冠阳性可以申请隔离吗🥺不清楚学校有没有这个条件？谢谢大家,13
5984752,6,"D1开洞记录日常～
早上起得比较晚，开始学习已经是下午了
数分为什么这么难呜呜一道题卡了人一个多小时还不会做（遂不做数分）
学普物～但是速度还是很慢
dz从中学来学物理就比较慢
然后来看元宵晚会啦(其实是来吃茶歇了)
希望明天能高效一些",7
5984710,6,"捞经双佳洞
5962098",0
5984658,6,你会给前任发生日祝福吗,7
5984652,6,3学分，三小时连上的课滚出地球,6
5984625,6,科研摧残心智啊，我发现了。。。除了日常，就是看文章搞东西，长久以往，人都不正常了,5
5984574,6,贵校哪些专业应该被大雪深埋？,9
5984523,6,和男朋友感情稳定，但过年回家时见到了初恋，现在想加他好友聊天，则何如,34
5984491,6,不懂就问 戴t了还会有传播x病的风险吗...,21
5984486,6,呜呜人大清华都有元宵，北大只有汤圆，读北大让我抬不起头来,8
5984382,6,真讽刺 每个和我税的男人心里都装着另一个女孩,15
5984367,6,为什么同学们都叫我皇帝？,15
5984347,6,吓鼠，化了妆穿了光腿神器出门，被要微信了,14
5984289,6,有没有人要穆良柱/穆法师/mlz热学，dz准备退，想要的私我，vx17826985800,16
5984266,6,i 人只有自己一个人过元宵，好想家……,9
5984263,6,"#5980546
Ohhhhh！蹲了整整四天，每天都无法专心吃饭睡觉，刚刚终于以迅雷般的手速补上了😭从早上七点就开始刷新，看到补选成功的字样真的想哭😢
（确实任何一门课或许都不值得投入这么多时间来补选，dz还是因为前期巨大的沉默成本被套死了）

另外攒一波人品！一会儿退国社上lk 和 周一地社， 需要的朋友可以蹲嘿嘿！！www",13
5984980,5,这是什么？人在des,4
5984977,5,突然社交欲高涨想找人聊天..救命,4
5984958,5,感觉现在就我一个人没有和其他人去过元宵节,7
5984956,5,大三了还是处于几乎没有社交的原子人状态，想改变现状但又觉得有这个时间不如去图书馆自习😭是不是注定形单影只一辈子了,7
5984922,5,洞友们元宵快乐！,6
5984908,5,中东地区的国家关系 求拉群，感谢好心人🥹,4
5984854,5,"焦虑惊恐会发烧吗？
感觉肠胃不舒服xhs看诊严重恐癌，约了胃肠镜。平时容易觉得浑身热热的，但是没有任何不适或者肌肉酸疼的症状。昨天觉得脸太烫一测37.6，今天下午说复检一下一测37.4，一直不降刚测37.6。那我以前是不是一直在发热啊，会不会是癌热啊😱",18
5984844,5,有没有人想出去玩啊 citywalk,3
5984839,5,大家元宵节快乐,4
5984828,5,"好奇一下，现在如果自己的室友阳了，是否还会介意？（好奇鼠鼠想听听大家的观点www
5984790",5
5984820,5,本学年第一个3.7😢😢😢😢😢,8
5984814,5,山东磕大头中年男和福建赵世子梦女，哪一方更加劳保？,4
5984785,5,我也想要黏人小狗☹️,13
5984771,5,发现高中同学里，清北的大部分都留京了，复交的大部分都留沪了，看来学校所在的城市对未来的选择还是蛮大的,7
5984767,5,表白 sms 23级 why，好喜欢～,6
5984736,5,如果一个人能在不接触任何心理学的情况下模糊地推出阿德勒、霍妮的基本理论假设和分析框架，他(她）是不是精神分析的天才？,5
5984703,5,有女生一起蹦迪吗 dz女 不太敢一个人去 去哪美女姐姐决定☺️,11
5984695,5,海淀有没有热闹点的地方可以赏灯的（类似什刹海、前门那种,5
5984655,5,作为侄女被不少女生喜欢过但从来没被男生喜欢过，裂开了要,11
5984619,5,经原qj发生什么了 dz有事没去上课,6
5984604,5,"求问万洞，随机过程引论对数学要求如何呢

信科 xk 体系 操统 wlw 数据库",5
5984590,5,姚期智班和姚兴腾班的学生哪个更可能在TCS领域取得开创性成就？,3
5984588,5,骑车回寝室的时候差点哭出来了,36
5984577,5,日本经济换核科学有没有,5
5984558,5,今天忘记吃汤圆了现在哪里还有,5
5984520,5,如何用一句话快速证明你是北大人？,10
5984493,5,,3
5984473,5,在忘带校园卡的情况下，如何最快向其他北大人证明我是北大的？给他看我正在刷树洞？,16
5984466,5,,5
5984458,5,"学一的蒸蛋
怎么样
好吃嘛
油不油哇😃",4
5984428,5,清华食堂卖元宵诶，是元宵不是汤圆,6
5984413,5,刷到一个贵校美女博主在xhs被喷了…（虽然也不算是喷她本人,2
5984375,5,急问，哪个食堂能快速吃到热乎汤圆,10
5984349,5,"5981509
补充一下是线上，时薪两三千，再捞一捞
#家教#竞赛",7
5984329,5,哪个食堂有汤圆恰,9
5984279,5,"看到坊，想吃。
香甜的，酥酥软软的。
可是晚上吃会长胖，离宿舍还很远，回去了就冷了。
所以不能买。
就像分手以后一个人闲逛，看到身边两个人相伴走过。
没有，没有身边的人。",33
5984992,4,"#5564737捞捞
dz萌新，通关过一次原版最低难度，现在在玩灾厄，希望有人一起玩，怎么玩都听你的🥺🥺",2
5984990,4,"真的存在一开始就不准备长久的恋爱吗
我印象中恋爱都是一开始山盟海誓，后来才变了心的
一开始就不打算长久的话，心态是什么样的呢",3
